Setup title,"mosfet meas2"
Classic test name,"I/V Sweep"
Test date,12/4/2014
Test time,16:22:07
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,4155B
Channel.UnitType,SMU,SMU,SMU,SMU
Channel.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Channel.IName,I1,I2,I3,I4
Channel.VName,V1,V2,V3,V4
Channel.Mode,V,V,V,V
Channel.Func,CONST,VAR1,CONST,VAR2
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Port.SeriesResistor,NONE,NONE,NONE,NONE
Measurement.Port.Filter,ON,ON,ON,ON
Measurement.Primary.Locus,Single
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,12
Measurement.Primary.Step,1
Measurement.Primary.Compliance,0.05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.Start,0
Measurement.Secondary.Count,3
Measurement.Secondary.Step,-1
Measurement.Secondary.Compliance,0.0001
Measurement.Secondary.PowerCompliance,0
Measurement.Bias.Source,0.05,0,0,0
Measurement.Bias.Compliance,0.05,0.05,0.05,0.0001
Measurement.Monitor.Unit,SMU1:MP,SMU2:MP,SMU3:MP,SMU4:MP
Measurement.Monitor.Adc,"HR ADC","HR ADC","HR ADC","HR ADC"
Measurement.Monitor.RangingMode,LIMITED,LIMITED,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE","BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,AUTO
Measurement.Adc.HighResolution.Coeff,1
Measurement.Ag16440ASelector.SemiconductorRelay.Channel1,DEFAULT
Measurement.Ag16440ASelector.SemiconductorRelay.Channel3,DEFAULT
Function.User.Name,VA,IS1
Function.User.Unit,V,A
Function.User.Definition,V2,I1
Output.Graph.Enabled,true
Output.Graph.XAxis.Data,VA
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,0
Output.Graph.XAxis.Right,4
Output.Graph.YAxis.Data,IS1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1
Output.Graph.YAxis.Group,
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VA,IS1
0,0.000171837
1,0.000219968
2,0.000262138
3,0.000299361
4,0.000332925
5,0.000363822
6,0.00039257
7,0.000419577
8,0.000445023
9,0.000469109
10,0.000491884
11,0.000513427
12,0.000533724
0,0.000153283
1,0.000201976
2,0.000244601
3,0.000282223
4,0.000316133
5,0.000347341
6,0.000376367
7,0.00040364
8,0.00042934
9,0.000453652
10,0.000476629
11,0.000498379
12,0.00051886
0,0.000140793
1,0.000189887
2,0.000232852
3,0.000270749
4,0.000304894
5,0.000336323
6,0.000365547
7,0.000392999
8,0.000418867
9,0.00044334
10,0.000466459
11,0.000488342
12,0.000508952
